iter	Passed	Remaining
536	116835	100735
537	117052	100517
538	117265	100296
539	117482	100077
540	117697	99857
541	117916	99641
542	118132	99422
543	118349	99204
544	118562	98983
545	118774	98761
546	118989	98541
547	119201	98319
548	119423	98105
549	119642	97889
550	119858	97670
551	120079	97455
552	120298	97239
553	120385	96917
554	120603	96699
555	120813	96476
556	121030	96259
557	121246	96041
558	121461	95822
559	121670	95598
560	121884	95378
561	122092	95154
562	122302	94931
563	122517	94711
564	122728	94490
565	122946	94273
566	123163	94056
567	123377	93836
568	123595	93619
569	123811	93401
570	124027	93183
571	124240	92963
572	124455	92744
573	124666	92522
574	124881	92303
575	125092	92081
576	125308	91863
577	125522	91644
578	125739	91426
579	125952	91206
580	126169	90989
581	126385	90771
582	126599	90552
583	126816	90335
584	127030	90115
585	127250	89900
586	127468	89684
587	127683	89465
588	127902	89249
589	128121	89033
590	128338	88816
591	128551	88596
592	128765	88377
593	128983	88160
594	129198	87941
595	129418	87726
596	129637	87510
597	129853	87292
598	130067	87073
599	130286	86857
600	130504	86641
601	130719	86422
602	130937	86205
603	131159	85991
604	131373	85772
605	131588	85554
606	131803	85335
607	132019	85117
608	132235	84899
609	132453	84683
610	132663	84461
611	132886	84248
612	133101	84029
613	133322	83815
614	133533	83594
615	133747	83374
616	133962	83156
617	134187	82944
618	134401	82725
619	134613	82505
620	134832	82288
621	135049	82071
622	135268	81855
623	135479	81634
624	135696	81417
625	135909	81198
626	136133	80985
627	136355	80770
628	136566	80550
629	136778	80330
630	136992	80111
631	137206	79892
632	137506	79723
633	137722	79505
634	137941	79289
635	138159	79072
636	138371	78852
637	138580	78630
638	138794	78411
639	139009	78192
640	139221	77972
641	139439	77755
642	139651	77535
643	139862	77315
644	140079	77097
645	140311	76888
646	140543	76679
647	140771	76468
648	141008	76261
649	141250	76058
650	141488	75851
651	141714	75638
652	141952	75432
653	142179	75220
654	142424	75017
655	142660	74809
656	142892	74599
657	143119	74387
658	143362	74183
659	143588	73969
660	143814	73756
661	144040	73543
662	144272	73332
663	144508	73124
664	144740	72914
665	144961	72698
666	145180	72481
667	145407	72268
668	145646	72061
669	145893	71857
670	146130	71649
671	146368	71441
672	146609	71235
673	146858	71032
674	147094	70823
675	147345	70621
676	147603	70422
677	147853	70219
678	148098	70014
679	148349	69811
680	148592	69604
681	148840	69400
682	149078	69191
683	149320	68984
684	149554	68773
685	149795	68565
686	150020	68350
687	150243	68133
688	150464	67916
689	150683	67698
690	150904	67481
691	151123	67263
692	151339	67043
693	151552	66823
694	151774	66605
695	151991	66387
696	152204	66166
697	152426	65949
698	152641	65729
699	152858	65510
700	153084	65295
701	153316	65083
702	153527	64861
703	153742	64641
704	153965	64425
705	154177	64204
706	154392	63984
707	154602	63762
708	154829	63547
709	155061	63334
710	155309	63128
711	155544	62917
712	155781	62706
713	156038	62502
714	156300	62301
715	156568	62102
716	156807	61891
717	157043	61680
718	157266	61462
719	157489	61245
720	157702	61024
721	157925	60807
722	158144	60589
723	158375	60375
724	158590	60155
725	158807	59935
726	159024	59716
727	159241	59496
728	159456	59276
729	159671	59056
730	159887	58837
731	160130	58627
732	160345	58407
733	160560	58186
734	160779	57968
735	160991	57746
736	161208	57527
737	161424	57307
738	161641	57088
739	161855	56868
740	162079	56651
741	162295	56431
742	162508	56210
743	162719	55989
744	162940	55771
745	163156	55551
746	163377	55333
747	163590	55113
748	163804	54893
749	164016	54672
750	164237	54454
751	164457	54236
752	164678	54018
753	164898	53799
754	165128	53584
755	165341	53364
756	165553	53143
757	165773	52924
758	165989	52705
759	166206	52486
760	166430	52269
761	166646	52049
762	166867	51831
763	167083	51612
764	167298	51392
765	167514	51172
766	167731	50953
767	167953	50735
768	168168	50516
769	168383	50296
770	168596	50076
771	168819	49858
772	169032	49638
