iter	Passed	Remaining
546	5920	2197
547	5931	2186
548	5941	2175
549	5954	2165
550	5969	2156
551	5987	2147
552	5999	2137
553	6012	2127
554	6024	2116
555	6033	2105
556	6047	2095
557	6061	2085
558	6073	2075
559	6086	2065
560	6095	2053
561	6108	2043
562	6123	2033
563	6136	2023
564	6155	2015
565	6169	2005
566	6183	1995
567	6196	1985
568	6206	1974
569	6220	1964
570	6236	1955
571	6248	1944
572	6261	1934
573	6265	1921
574	6277	1910
575	6291	1900
576	6303	1889
577	6311	1878
578	6321	1866
579	6331	1855
580	6340	1844
581	6352	1833
582	6365	1823
583	6369	1810
584	6375	1798
585	6385	1787
586	6400	1777
587	6415	1767
588	6431	1757
589	6444	1747
590	6457	1737
591	6468	1726
592	6479	1715
593	6495	1705
594	6510	1695
595	6525	1686
596	6541	1676
597	6551	1665
598	6560	1653
599	6572	1643
600	6585	1632
601	6592	1620
602	6608	1611
603	6623	1601
604	6634	1590
605	6649	1579
606	6658	1568
607	6671	1558
608	6683	1547
609	6692	1535
610	6702	1524
611	6715	1514
612	6729	1503
613	6739	1492
614	6749	1481
615	6762	1470
616	6774	1460
617	6787	1449
618	6794	1437
619	6806	1427
620	6815	1415
621	6823	1404
622	6837	1393
623	6849	1383
624	6861	1372
625	6871	1361
626	6883	1350
627	6894	1339
628	6900	1327
629	6911	1316
630	6920	1305
631	6929	1293
632	6941	1282
633	6949	1271
634	6959	1260
635	6973	1249
636	6982	1238
637	6991	1227
638	7001	1216
639	7005	1204
640	7015	1192
641	7024	1181
642	7032	1170
643	7041	1159
644	7051	1147
645	7062	1136
646	7073	1126
647	7085	1115
648	7098	1104
649	7110	1093
650	7122	1083
651	7128	1071
652	7135	1059
653	7144	1048
654	7156	1037
655	7166	1026
656	7176	1015
657	7188	1005
658	7202	994
659	7212	983
660	7221	972
661	7231	961
662	7241	950
663	7250	939
664	7265	928
665	7279	918
666	7292	907
667	7306	896
668	7315	885
669	7326	874
670	7335	863
671	7345	852
672	7357	841
673	7366	830
674	7377	819
675	7386	808
676	7394	797
677	7404	786
678	7414	775
679	7425	764
680	7440	753
681	7454	743
682	7464	732
683	7474	721
684	7484	710
685	7493	699
686	7502	688
687	7514	677
688	7527	666
689	7538	655
690	7551	644
691	7565	634
692	7579	623
693	7589	612
694	7598	601
695	7609	590
696	7619	579
697	7629	568
698	7641	557
699	7651	546
700	7660	535
701	7672	524
702	7686	513
703	7695	502
704	7704	491
705	7714	480
706	7726	469
707	7735	458
708	7744	447
709	7754	436
710	7763	425
711	7773	414
712	7783	403
713	7793	392
714	7806	382
715	7817	371
716	7827	360
717	7832	349
718	7843	338
719	7853	327
720	7862	316
721	7872	305
722	7882	294
723	7891	283
724	7903	272
725	7914	261
726	7928	250
727	7940	239
728	7950	229
729	7960	218
730	7972	207
731	7979	196
732	7989	185
733	8001	174
734	8010	163
735	8021	152
736	8034	141
737	8045	130
738	8055	119
739	8066	109
740	8079	98
741	8093	87
742	8103	76
743	8114	65
744	8125	54
745	8134	43
746	8145	32
747	8157	21
748	8164	10
749	8175	0
