iter	Passed	Remaining
334	4287	8510
335	4304	8506
336	4417	8690
337	4432	8682
338	4451	8679
339	4465	8668
340	4480	8659
341	4495	8649
342	4508	8635
343	4519	8619
344	4535	8610
345	4549	8599
346	4564	8589
347	4579	8579
348	4595	8572
349	4614	8570
350	4629	8560
351	4641	8545
352	4653	8528
353	4665	8514
354	4684	8511
355	4702	8506
356	4715	8493
357	4733	8489
358	4748	8477
359	4764	8470
360	4780	8462
361	4795	8452
362	4810	8440
363	4823	8427
364	4837	8415
365	4848	8398
366	4860	8383
367	4874	8372
368	4887	8358
369	4898	8340
370	4911	8326
371	4925	8314
372	4939	8303
373	4954	8292
374	4967	8278
375	4980	8266
376	4997	8258
377	5011	8246
378	5026	8235
379	5041	8226
380	5057	8216
381	5071	8204
382	5083	8188
383	5094	8172
384	5107	8158
385	5121	8145
386	5131	8128
387	5142	8112
388	5155	8098
389	5167	8081
390	5177	8064
391	5190	8050
392	5202	8035
393	5214	8019
394	5226	8005
395	5239	7991
396	5254	7980
397	5267	7967
398	5282	7957
399	5294	7941
400	5307	7927
401	5319	7913
402	5332	7899
403	5344	7884
404	5356	7869
405	5372	7859
406	5388	7850
